MAPPED_TRAIT	DISEASE.TRAIT	LINK	Remove
Alzheimer's disease	Alzheimer's disease (late onset)	www.ncbi.nlm.nih.gov/pubmed/17474819	
Alzheimer's disease	Alzheimer's disease (late onset)	www.ncbi.nlm.nih.gov/pubmed/17553421	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/17975299	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/17998437	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/18823527	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/19125160	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/19734902	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/19734903	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/20061627	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/20460622	
Alzheimer's disease	Alzheimer's disease (late onset)	www.ncbi.nlm.nih.gov/pubmed/20885792	
Alzheimer's disease	Alzheimer's disease (late onset)	www.ncbi.nlm.nih.gov/pubmed/21390209	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/21460840	
Alzheimer's disease	Alzheimer's disease (late onset)	www.ncbi.nlm.nih.gov/pubmed/21460841	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/21627779	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/22245343	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/22430674	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/22832961	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/23150908	
Alzheimer's disease	Alzheimer's disease (cognitive decline)	www.ncbi.nlm.nih.gov/pubmed/23535033	
Alzheimer's disease	Alzheimer's disease (late onset)	www.ncbi.nlm.nih.gov/pubmed/23565137	
Alzheimer's disease	Alzheimer's disease (late onset)	www.ncbi.nlm.nih.gov/pubmed/23571587	
Alzheimer's disease	Alzheimer's disease (late onset)	www.ncbi.nlm.nih.gov/pubmed/24162737	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/24755620	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/24770881	
Alzheimer's disease	Alzheimer's disease in APOE e4- carriers	www.ncbi.nlm.nih.gov/pubmed/25778476	
Alzheimer's disease	Alzheimer's disease in APOE e4+ carriers	www.ncbi.nlm.nih.gov/pubmed/25778476	
Alzheimer's disease	Alzheimer's disease (late onset)	www.ncbi.nlm.nih.gov/pubmed/26339675	
Alzheimer's disease	Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/28183528	
Alzheimer's disease	Alzheimer's disease (APOE e4 interaction)	www.ncbi.nlm.nih.gov/pubmed/28183528	
Alzheimer's disease	Alzheimer's disease in APOE e4- carriers	www.ncbi.nlm.nih.gov/pubmed/28183528	
Alzheimer's disease	Alzheimer's disease or family history of Alzheimer's disease	www.ncbi.nlm.nih.gov/pubmed/29777097	
Alzheimer's disease, age at onset	Alzheimer's disease (age of onset)	www.ncbi.nlm.nih.gov/pubmed/22005931	
Alzheimer's disease, age at onset	Alzheimer disease and age of onset	www.ncbi.nlm.nih.gov/pubmed/26830138	
Alzheimer's disease, Alzheimer's disease biomarker measurement, CCL2 measurement	Cerebrospinal fluid levels of Alzheimer's disease-related proteins	www.ncbi.nlm.nih.gov/pubmed/25340798	X
Alzheimer's disease, amyloid-beta measurement	Alzheimer's disease biomarkers	www.ncbi.nlm.nih.gov/pubmed/23419831	
Alzheimer's disease, APOE carrier status	Alzheimer's disease (APOE e4 interaction)	www.ncbi.nlm.nih.gov/pubmed/25778476	
Alzheimer's disease, beta-amyloid 1-42 measurement	Cerebrospinal AB1-42 levels in Alzheimer's disease dementia	www.ncbi.nlm.nih.gov/pubmed/25027320	X
Alzheimer's disease, CCL4 measurement, Alzheimer's disease biomarker measurement	Cerebrospinal fluid levels of Alzheimer's disease-related proteins	www.ncbi.nlm.nih.gov/pubmed/25340798	X
Alzheimer's disease, entorhinal cortical volume	Entorhinal cortical volume (Alzheimer's disease interaction)	www.ncbi.nlm.nih.gov/pubmed/21116278	X
