Mouse.gene.name	Mouse.gene.stable.ID	Trait_name	P.VALUE	mapped_genes_human
2410131K14Rik	ENSMUSG00000032840	neuroticism	8e-10	C12orf49
2810006K23Rik	ENSMUSG00000047635	schizophrenia	2e-8	C12orf65
Abca7	ENSMUSG00000035722	Alzheimer's disease	5e-17	ABCA7
Abi3	ENSMUSG00000018381	Alzheimer's disease	5e-10	ABI3
Ablim1	ENSMUSG00000025085	bipolar disorder	2e-8	ABLIM1
Abt1	ENSMUSG00000036376	unipolar depression	2e-9	ABT1
Acvr2a	ENSMUSG00000052155	neuroticism	1e-13	ACVR2A
Adamtsl3	ENSMUSG00000070469	schizophrenia	5e-12	ADAMTSL3
Adck1	ENSMUSG00000021044	schizophrenia	3e-8	ADCK1
Adcy2	ENSMUSG00000021536	bipolar disorder	1e-8	ADCY2
Add3	ENSMUSG00000025026	bipolar disorder	3e-8	ADD3
Adgrv1	ENSMUSG00000069170	schizophrenia	3e-8	ADGRV1
Akap6	ENSMUSG00000061603	schizophrenia	2e-8	AKAP6
Akt3	ENSMUSG00000019699	schizophrenia	7e-10	AKT3
Ambra1	ENSMUSG00000040506	schizophrenia	7e-12	AMBRA1
Ank3	ENSMUSG00000069601	autism spectrum disorder	3e-9	ANK3
Ank3	ENSMUSG00000069601	bipolar disorder	7e-11	ANK3
Ank3	ENSMUSG00000069601	schizophrenia	3e-9	ANK3
Ank3	ENSMUSG00000069601	unipolar depression	3e-9	ANK3
Ankrd55	ENSMUSG00000049985	Alzheimer's disease	1e-8	ANKRD55
Apoe	ENSMUSG00000002985	Alzheimer's disease	3e-105	APOE
Apopt1	ENSMUSG00000037787	autism spectrum disorder	2e-12	APOPT1
Apopt1	ENSMUSG00000037787	schizophrenia	1e-13	APOPT1
Arl3	ENSMUSG00000025035	schizophrenia	3e-9	ARL3
Arpp21	ENSMUSG00000032503	neuroticism	7e-10	ARPP21
As3mt	ENSMUSG00000003559	autism spectrum disorder	1e-8	AS3MT
As3mt	ENSMUSG00000003559	bipolar disorder	1e-8	AS3MT
As3mt	ENSMUSG00000003559	schizophrenia	8e-10	AS3MT
As3mt	ENSMUSG00000003559	unipolar depression	1e-8	AS3MT
Astn1	ENSMUSG00000026587	unipolar depression	4e-9	ASTN1
Astn2	ENSMUSG00000028373	unipolar depression	9e-9	ASTN2
Atat1	ENSMUSG00000024426	autism spectrum disorder	7e-11	ATAT1
Atat1	ENSMUSG00000024426	schizophrenia	7e-11	ATAT1
Atf6b	ENSMUSG00000015461	neuroticism	1e-12	ATF6B
Atp2a2	ENSMUSG00000029467	schizophrenia	2e-10	ATP2A2
Atp2b2	ENSMUSG00000030302	autism spectrum disorder	2e-8	ATP2B2
Atp2b2	ENSMUSG00000030302	schizophrenia	2e-8	ATP2B2
Baiap2	ENSMUSG00000025372	neuroticism	2e-14	BAIAP2
Bcas3	ENSMUSG00000059439	Alzheimer's disease	1e-11	BCAS3
Bckdk	ENSMUSG00000030802	Alzheimer's disease	3e-8	BCKDK
Bckdk	ENSMUSG00000030802	Parkinson's disease	2e-12	BCKDK
Bcl11b	ENSMUSG00000048251	schizophrenia	5e-9	BCL11B
Bin3	ENSMUSG00000022089	Parkinson's disease	3e-8	BIN3
Bst1	ENSMUSG00000029082	Parkinson's disease	1e-19	BST1
Btn2a2	ENSMUSG00000053216	autism spectrum disorder	4e-10	BTN2A2
Btn2a2	ENSMUSG00000053216	schizophrenia	4e-10	BTN2A2
Btnl10	ENSMUSG00000020490	autism spectrum disorder	8e-24	BTN3A1, BTN3A2
Btnl10	ENSMUSG00000020490	schizophrenia	7e-27	BTN3A1, BTN3A2
Btnl10	ENSMUSG00000020490	unipolar depression	6e-9	BTN3A1, BTN3A2
Bzw2	ENSMUSG00000020547	Alzheimer's disease	6e-11	BZW2
C2	ENSMUSG00000024371	autism spectrum disorder	2e-16	C2
C2	ENSMUSG00000024371	schizophrenia	2e-16	C2
Cacna1c	ENSMUSG00000051331	autism spectrum disorder	6e-14	CACNA1C
Cacna1c	ENSMUSG00000051331	bipolar disorder	3e-9	CACNA1C
Cacna1c	ENSMUSG00000051331	schizophrenia	3e-19	CACNA1C
Cacna1c	ENSMUSG00000051331	unipolar depression	5e-9	CACNA1C
Cacna1e	ENSMUSG00000004110	neuroticism	5e-13	CACNA1E
Cacna1g	ENSMUSG00000020866	Alzheimer's disease	1e-9	CACNA1G
Cacna1i	ENSMUSG00000022416	autism spectrum disorder	4e-9	CACNA1I
Cacna1i	ENSMUSG00000022416	schizophrenia	2e-11	CACNA1I
Cacnb2	ENSMUSG00000057914	autism spectrum disorder	3e-10	CACNB2
Cacnb2	ENSMUSG00000057914	bipolar disorder	4e-8	CACNB2
Cacnb2	ENSMUSG00000057914	schizophrenia	3e-13	CACNB2
Cacnb2	ENSMUSG00000057914	unipolar depression	4e-8	CACNB2
Caln1	ENSMUSG00000060371	schizophrenia	3e-8	CALN1
Cass4	ENSMUSG00000074570	Alzheimer's disease	3e-8	CASS4
Ccdc62	ENSMUSG00000061882	Parkinson's disease	2e-20	CCDC62
Cd2ap	ENSMUSG00000061665	Alzheimer's disease	5e-11	CD2AP
Cdc25c	ENSMUSG00000044201	schizophrenia	2e-8	CDC25C
Celf1	ENSMUSG00000005506	Alzheimer's disease	1e-8	CELF1
Celf4	ENSMUSG00000024268	neuroticism	4e-16	CELF4
Cenpm	ENSMUSG00000068101	schizophrenia	3e-8	CENPM
Cep85l	ENSMUSG00000038594	bipolar disorder	4e-8	CEP85L
Chadl	ENSMUSG00000063765	neuroticism	1e-17	CHADL
Chadl	ENSMUSG00000063765	unipolar depression	6e-11	CHADL
Chrna3	ENSMUSG00000032303	autism spectrum disorder	5e-10	CHRNA3
Chrna3	ENSMUSG00000032303	schizophrenia	2e-13	CHRNA3
Clcn3	ENSMUSG00000004319	autism spectrum disorder	9e-9	CLCN3
Clcn3	ENSMUSG00000004319	schizophrenia	7e-11	CLCN3
Clmn	ENSMUSG00000021097	Alzheimer's disease	2e-8	CLMN
Clu	ENSMUSG00000022037	Alzheimer's disease	3e-25	CLU
Cnnm2	ENSMUSG00000064105	schizophrenia	1e-8	CNNM2
Cnot1	ENSMUSG00000036550	autism spectrum disorder	2e-8	CNOT1
Cnot1	ENSMUSG00000036550	schizophrenia	2e-8	CNOT1
Cntn1	ENSMUSG00000055022	Parkinson's disease	2e-27	CNTN1
Cntn4	ENSMUSG00000064293	autism spectrum disorder	5e-10	CNTN4
Cntn4	ENSMUSG00000064293	schizophrenia	1e-11	CNTN4
Cntn5	ENSMUSG00000039488	neuroticism	3e-9	CNTN5
Cpeb1	ENSMUSG00000025586	schizophrenia	3e-8	CPEB1
Crtap	ENSMUSG00000032431	unipolar depression	2e-8	CRTAP
Cryba1	ENSMUSG00000000724	unipolar depression	9e-9	CRYBA1
