Gene stable ID	Mouse gene stable ID	Mouse gene name	Gene name	Mouse orthology confidence [0 low, 1 high]	%id. target Mouse gene identical to query gene	%id. query gene identical to target Mouse gene
ENSG00000276626	ENSMUSG00000088546	Gm25981	RF00100	0	42.2131	34.9153
ENSG00000276626	ENSMUSG00000088943	Gm23259	RF00100	0	47.9508	38.6139
ENSG00000276626	ENSMUSG00000088818	Gm22389	RF00100	0	41.3934	33.5548
ENSG00000276626	ENSMUSG00000084743	Gm25295	RF00100	0	47.9508	38.2353
ENSG00000276626	ENSMUSG00000088500	Gm24419	RF00100	0	41.8033	30.7229
ENSG00000276626	ENSMUSG00000089251	Gm25714	RF00100	0	42.2131	34.7973
ENSG00000199595	ENSMUSG00000064945	Rny3	RF00019	0	83.3333	83.3333
ENSG00000201050	ENSMUSG00000064867	Gm25039	RNU6-668P	0	86.9159	86.9159
ENSG00000222705	ENSMUSG00000089146	Gm25266	RN7SKP39	0	39.1304	41.4474
ENSG00000222705	ENSMUSG00000089529	Gm22325	RN7SKP39	0	46.8944	49.026
ENSG00000274662	ENSMUSG00000088357	Gm24011	RN7SKP236	0	61.2676	64.9254
ENSG00000277613	ENSMUSG00000089563	Gm24667	RF00026	0	59.6154	60.1942
ENSG00000277613	ENSMUSG00000088761	Gm24392	RF00026	0	58.6538	59.2233
ENSG00000238961	ENSMUSG00000088108	Snora47	SNORA47	1	80.4348	80.4348
ENSG00000206685	ENSMUSG00000065936	Gm25628	RNU6-1189P	0	85.0467	86.6667
ENSG00000276991	ENSMUSG00000098395	Gm27998	RF01877	1	77.1883	80.6094
ENSG00000202051	ENSMUSG00000064801	Gm24035	RNU6-382P	0	81.1321	80.3738
ENSG00000200063	ENSMUSG00000065259	Snora30	RF00415	1	81.3953	80.7692
ENSG00000200063	ENSMUSG00000064581	Gm25133	RF00415	0	79.845	79.2308
ENSG00000200779	ENSMUSG00000088656	Gm24848	RNU6-105P	0	60.5769	58.8785
ENSG00000207394	ENSMUSG00000096200	Gm23186	RNU6-1060P	0	91.5888	91.5888
ENSG00000207198	ENSMUSG00000064743	Gm24856	RNU6-1195P	0	88.4615	85.9813
ENSG00000252199	ENSMUSG00000064994	Gm22422	RF00156	0	74.7368	52.5926
ENSG00000276562	ENSMUSG00000093191	Gm22876	RN7SL565P	0	72.5352	69.1275
ENSG00000222909	ENSMUSG00000089277	Gm24546	RNU6-193P	0	64.486	67.6471
ENSG00000274458	ENSMUSG00000087813	Gm22490	RF00561	0	77.3438	83.1933
ENSG00000206929	ENSMUSG00000065721	Gm26168	RF00019	0	82.4074	79.4643
ENSG00000277572	ENSMUSG00000098393	Gm28000	RF01518	0	37.0787	38.8235
ENSG00000277572	ENSMUSG00000098373	Gm27679	RF01518	0	43.8202	46.4286
ENSG00000277572	ENSMUSG00000099208	Gm27940	RF01518	0	44.9438	40.8163
ENSG00000206952	ENSMUSG00000105690	Gm26265	SNORA50A	1	90.2985	90.9774
ENSG00000253089	ENSMUSG00000064584	Gm25130	RNU1-104P	0	34.8571	39.1026
ENSG00000251766	ENSMUSG00000065236	n-R5s197	RNA5SP518	0	81.5126	81.5126
ENSG00000251897	ENSMUSG00000064904	Gm25404	RNU6-916P	0	83.4862	85.0467
ENSG00000202229	ENSMUSG00000088879	Gm25867	RNU6-1138P	0	63.2075	65.0485
ENSG00000222399	ENSMUSG00000089563	Gm24667	RNU6-791P	0	59.6154	60.1942
ENSG00000222399	ENSMUSG00000088761	Gm24392	RNU6-791P	0	58.6538	59.2233
ENSG00000265706	ENSMUSG00000092713	Gm22858	SNORD53B	1	91.0256	93.4211
ENSG00000252601	ENSMUSG00000089291	Gm23208	RF00425	0	63.4783	57.4803
ENSG00000252601	ENSMUSG00000088790	Gm22541	RF00425	0	54.7826	49.6063
ENSG00000238875	ENSMUSG00000087956	Gm22561	RN7SKP210	0	12.2605	38.0952
ENSG00000251992	ENSMUSG00000088242	Gm25913	SCARNA17	0	65.2778	69.6296
ENSG00000251992	ENSMUSG00000089235	Gm23119	SCARNA17	1	78.4722	80.7143
ENSG00000251992	ENSMUSG00000088310	Gm26183	SCARNA17	0	74.3056	76.9784
ENSG00000253086	ENSMUSG00000064443	Gm26226	RNU6-537P	0	66.9903	59.4828
ENSG00000253086	ENSMUSG00000065859	Gm22351	RNU6-537P	0	67.9612	65.4206
ENSG00000199814	ENSMUSG00000095052	Gm25672	RNU6-1260P	0	91.5888	91.5888
ENSG00000252139	ENSMUSG00000089625	Gm25443	RF00283	0	78.3133	85.5263
ENSG00000252139	ENSMUSG00000088689	Scarna17	RF00283	1	86.747	91.1392
ENSG00000222784	ENSMUSG00000088331	Gm22846	RN7SKP91	0	57.2917	61.1111
ENSG00000252010	ENSMUSG00000087968	Gm25395	SCARNA5	1	82.971	84.1912
ENSG00000252164	ENSMUSG00000077382	n-R5s200	RNA5SP282	0	62.963	60.177
ENSG00000200437	ENSMUSG00000065319	Gm26066	RNU6-799P	0	74.7664	73.3945
ENSG00000252956	ENSMUSG00000077309	n-R5s8	RNA5SP40	0	55.4545	51.6949
ENSG00000201180	ENSMUSG00000089584	Gm23337	RNU6-115P	0	76.6355	69.4915
ENSG00000199824	ENSMUSG00000065733	Gm24491	RNU6-199P	0	91.5888	91.5888
ENSG00000221792	ENSMUSG00000080374	Gm22953	MIR1282	1	99.2079	99.2079
ENSG00000277460	ENSMUSG00000099219	Gm27680	RF02198	1	63.5802	64.375
ENSG00000276730	ENSMUSG00000099252	Gm27265	RF02275	1	90.9091	90.9091
ENSG00000222796	ENSMUSG00000088285	Gm23589	RNU6-383P	0	65.9574	59.0476
ENSG00000252535	ENSMUSG00000098877	Gm27959	RNA5SP254	0	70	31.5315
ENSG00000222849	ENSMUSG00000088269	Gm24777	RNA5SP21	0	65.625	58.8785
ENSG00000238585	ENSMUSG00000065293	Gm26124	RF00019	0	72.807	76.8519
ENSG00000278391	ENSMUSG00000098393	Gm28000	RF01518	0	33.3333	35.2941
ENSG00000278391	ENSMUSG00000098373	Gm27679	RF01518	0	38.8889	41.6667
ENSG00000278391	ENSMUSG00000099208	Gm27940	RF01518	0	42.2222	38.7755
ENSG00000207072	ENSMUSG00000093831	Gm23144	RNU6-39P	0	99.0654	99.0654
ENSG00000273767	ENSMUSG00000099232	Gm27884	RF02219	1	86.8421	86.8421
ENSG00000251809	ENSMUSG00000088880	Gm24213	RN7SKP14	0	35.5623	45.3488
ENSG00000274721	ENSMUSG00000099157	Gm27804	RF02039	1	68.595	69.7479
ENSG00000199640	ENSMUSG00000088456	Gm26372	RN7SKP294	0	49.1124	70.339
ENSG00000275266	ENSMUSG00000099143	Gm27483	RF01972	1	91.5493	91.5493
ENSG00000207369	ENSMUSG00000088268	Gm24776	RNU6-665P	0	66.3551	82.5581
ENSG00000274915	ENSMUSG00000088334	Gm22842	RF00635	1	85.5932	85.5932
ENSG00000273966	ENSMUSG00000098393	Gm28000	RF01518	0	33.3333	35.2941
ENSG00000273966	ENSMUSG00000098373	Gm27679	RF01518	0	38.8889	41.6667
ENSG00000273966	ENSMUSG00000099208	Gm27940	RF01518	0	42.2222	38.7755
ENSG00000222455	ENSMUSG00000087836	Gm23956	RNA5SP296	0	53.1532	49.5798
ENSG00000222455	ENSMUSG00000089599	Gm26157	RNA5SP296	0	46.8468	41.2698
ENSG00000199396	ENSMUSG00000070225	n-R5s33	RNA5S5	0	96.6387	96.6387
ENSG00000200830	ENSMUSG00000084694	Gm24893	RN7SKP134	0	72.119	52.5745
ENSG00000201326	ENSMUSG00000077681	Gm22496	SNORD115-22	0	76.8293	71.5909
ENSG00000201882	ENSMUSG00000077506	Scarna9	RF00493	1	84.2857	84.2857
ENSG00000212559	ENSMUSG00000087854	Gm22790	RNA5SP35	0	55.814	55.814
ENSG00000202382	ENSMUSG00000064945	Rny3	RF00019	0	87.2549	87.2549
ENSG00000281859	ENSMUSG00000064542	Gm22980	SNORD38B	1	85.5072	84.2857
ENSG00000273537	ENSMUSG00000099117	Gm27404	RF01986	1	90	87.3786
ENSG00000207445	ENSMUSG00000064966	Snord15b	SNORD15B	1	89.0411	89.6552
ENSG00000201403	ENSMUSG00000064741	Snord14a	SNORD14B	1	81.1111	83.908
ENSG00000212195	ENSMUSG00000098641	Rnu3b4	RF00012	0	59.6939	54.4186
ENSG00000212195	ENSMUSG00000098925	Rnu3b2	RF00012	0	59.6939	54.4186
ENSG00000212195	ENSMUSG00000105025	Rnu3b1	RF00012	1	59.6939	54.4186
ENSG00000212195	ENSMUSG00000104856	Rnu3b3	RF00012	1	59.6939	54.4186
ENSG00000200897	ENSMUSG00000064440	Gm26224	RF00284	1	74.0741	75
ENSG00000199622	ENSMUSG00000084568	Gm26480	RN7SKP20	0	68.3706	72.0539
